Food name and description	category	Density in g/ml (including mass and bulk density)	Specific gravity	BiblioID	Update Version 2.0	Unnamed: 5	Unnamed: 6
Peanuts, shelled	Nuts and seeds	0.69		ASI	x		
Peanuts, unshelled	Nuts and seeds	0.27-0.38		ASI	x		
Pistachio, raw, with shell	Nuts and seeds	0.6		RC			
Pistachio, raw, without shell	Nuts and seeds	0.646		RC			
Rapeseed	Nuts and seeds	0.77		ASI	x		
Sunflower, seed	Nuts and seeds	0.62		ASI	x		
Apple slices, dried	Fruits	0.24		ASI	x		
Loquat	Fruits	0.6		KEN	x		
Paw Paw, unripe	Fruits	0.56		KEN	x		
Alfalfa, leaf, meal	Vegetables	0.23		ASI	x		
Alfalfa,meal, dehydrated 13%	Vegetables	0.26-0.29		ASI	x		
Alfalfa, meal, dehydrated 17%	Vegetables	0.29-0.35		ASI	x		
Alfalfa, meal, fine ground	Vegetables	0.24-0.35		ASI	x		
Alfalfa, meal, suncured 13%	Vegetables	0.22		ASI	x		
Alfalfa, seed	Vegetables	0.72-0.77		ASI	x		
Alfalfa, stem meal	Vegetables	0.19		ASI	x		
Carrot, raw, chopped	Vegetables	0.54		KEN	x		
Carrot, raw, grated	Vegetables	0.71		KEN	x		
Cauliflower, boiled	Vegetables	0.45		RC			
Chili, green	Vegetables	0.5		KEN	x		
Chili, red	Vegetables	0.5		KEN	x		
French green beans	Vegetables	0.53		KEN	x		
Fresh green peas (minji)	Vegetables	0.73		KEN	x		
Leaves, managu, raw (black night shade)	Vegetables	0.2		KEN	x		
Leaves, onion, spring onion, raw	Vegetables	0.44		KEN	x		
Corn/maize, green, sweet corn, boiled	Vegetables	0.73		KEN	x		
Corn/maize, green, sweet corn, raw	Vegetables	0.61		KEN	x		
Olives, green, with stone	Vegetables	0.65		RC			
Onions, chopped	Vegetables	0.22		ASI	x		
Onions, minced	Vegetables	0.13		ASI	x		
Onions, powdered	Vegetables	0.4		ASI	x		
Onions, fried, cubed	Vegetables	0.75		RC			
Onions, raw, cubed	Vegetables	0.55		RC			
Salad, green, leaves, raw	Vegetables	0.06		RC			
Spinach, frozen, cooked	Vegetables	1.046		RC			
Spinach, leaves, raw	Vegetables	0.08		RC			
Sweet pepper, raw, cubes	Vegetables	0.51		RC			
Sweet pepper, raw, half rings	Vegetables	0.39		RC			
Beans, white	Legumes	0.69-0.77		ASI	x		
Cowpeas	Legumes	0.72		ASI	x		
Cowpeas, dried, boiled	Legumes	0.75		KEN	x		
Cowpeas, dried, raw	Legumes	0.96		KEN	x		
Greengram, boiled	Legumes	0.76		KEN	x		
Greengram, raw	Legumes	0.79		KEN	x		
Kidney beans, dry, boiled	Legumes	0.79		KEN	x		
Kidney beans, dry, raw	Legumes	0.75		KEN	x		
Kidney beans, green, boiled	Legumes	0.7		KEN	x		
Kidney beans, green, raw	Legumes	0.68		KEN	x		
Lentils, green, small, boiled	Legumes	0.85		RC			
Lentils, green, small, raw	Legumes	0.89		RC			
Pigeon peas, boiled	Legumes	0.75		KEN	x		
Pigeon peas, raw	Legumes	0.84		KEN	x		
Soybean	Legumes	0.74		ASI	x		
Soybean, flakes	Legumes	0.58		ASI	x		
Soybean, hulls	Legumes	0.4		ASI	x		
Soybean, meal	Legumes	0.64		ASI	x		
Soybean, boiled	Legumes	0.79		KEN	x		
Soybean, boiled with fat	Legumes	0.70		KEN	x		
Cinnamon, powder	Herbes and spices	0.56		ASI	x		
Clover, seed	Herbes and spices	0.77		ASI	x		
Dry flavoring mix Roiko and other flavorings	Herbes and spices	0.7		KEN	x		
Garlic, flakes	Herbes and spices	0.35		ASI	x		
Garlic, powder	Herbes and spices	0.32		ASI	x		
Sage, leaves	Herbes and spices	0.29		ASI	x		
Spice, barbecue	Herbes and spices	0.48		ASI	x		
Spice, blend	Herbes and spices	0.58		ASI	x		
Prawns, whole, boiled, with shell	Fish and fish products	0.58		RC			
Prawns, whole, boiled, without shell	Fish and fish products	0.77		RC			
Egg, yoke, powder	Egg and egg products	0.37		ASI	x		
Egg, chicken, boiled/poached	Egg and egg products	0.6		FNDDS 4.1			
Eggs, powdered	Egg and egg products	0.35		ASI	x		
Blood, flour	Meat and meat products	0.48		ASI	x		
Blood, meal	Meat and meat products	0.62		ASI	x		
Bone and meat meal, loose	Meat and meat products	0.72		ASI	x		
Bone meal, loose	Meat and meat products	0.80-0.96		ASI	x		
Cow intestine, boiled	Meat and meat products	0.58		KEN	x		
Cow, lean, no bone, raw	Meat and meat products	0.96		KEN	x		
Cow, intestine, raw	Meat and meat products	0.93		KEN	x		
Goat, intestine, boiled	Meat and meat products	0.56		KEN	x		
Goat, intestine, raw	Meat and meat products	0.83		KEN	x		
Pork, fatty, with bone, boiled	Meat and meat products	0.63		KEN	x		
Pork, fatty, with bone, raw	Meat and meat products	0.97		KEN	x		
Pork, medium, with bone, boiled	Meat and meat products	0.7		KEN	x		
Pork, medium, with bone, raw	Meat and meat products	0.93		KEN	x		
Potato chips	Snacks	0.09		RC			
Potato chips, pringles	Snacks	0.12		FNDDS 4.1			
Snacks, puffed, lowfat	Snacks	0.11		FNDDS 4.1			
Glucolin, glucose	Sweets	0.4		KEN	x		
Glucose (at 15.6 C)	Sweets	1.395	1.35-1.44	CSG	x		
Jam 	Sweets	1.333		S&W			
Jam, sweetened	Sweets	1.43		RC			
Jelly 	Sweets	1.245		S&W			
Nutella	Sweets	1.26		RC			
Sucrose	Sweets	0.85		ASI	x		
Sucrose Octoacetate	Sweets	0.53		ASI	x		
Sugar	Sweets	0.95		KEN	x		
Sugar, dextrose	Sweets	0.62		ASI	x		
Sugar, dextrose	Sweets	0.58		ASI	x		
Sugar, granulated	Sweets	0.7		ASI	x		
Sugar, powdered	Sweets	0.56		ASI	x		
Sugar, white	Sweets	0.9		RC			
Sugar, white	Sweets	0.88		FNDDS 4.1			
Syrup, blackcurrant, undiluted	Sweets	1.28	1.280	UK 6th			
Syrup, corn	Sweets	1.38		TB			
Syrup, corn, light	Sweets	1.40	1.41	USDA	x		
Syrup, fruit, blackberry	Sweets	1.34		RC			
Syrup, grenadine	Sweets	1.18	1.18	CG	x		
Syrup, maple	Sweets	1.32	1.32	USDA	x		
Syrup, pancake 	Sweets	1.312		S&W			
Baking powder	Miscellaneous foods	0.9		ASI	x		
Gelatin	Miscellaneous foods	0.72		ASI	x		
Monosodium glutamate	Miscellaneous foods	1.62		TB			
Mustard powdered	Miscellaneous foods	0.26		ASI	x		
Protein supplement	Miscellaneous foods	0.54		ASI	x		
Salad dressing	Miscellaneous foods	1.1		FNDDS 4.1			
Salt, sodium chloride	Miscellaneous foods	2.165		TB			
Salt, fine table	Miscellaneous foods	1.38		ASI	x		
Salt, granulated	Miscellaneous foods	1.28		ASI	x		
Salt, table	Miscellaneous foods	1.217		S&W			
Sauce, soy	Miscellaneous foods	1.12		FNDDS 4.1			
Sodium bicarbonate	Miscellaneous foods	2.2		TB			
Vitamin additive	Miscellaneous foods	0.66		ASI	x		
Vitamin compound	Miscellaneous foods	0.67		ASI	x		
Vitamin enrichment	Miscellaneous foods	0.64		ASI	x		
Vitamin mix	Miscellaneous foods	0.7		ASI	x		
Vitamin powder	Miscellaneous foods	0.56		ASI	x		
Yeast	Miscellaneous foods	0.95		ASI	x		
Bean soup	Soups	1.054		S&W			
Cheddar cheese soup	Soups	1.046		S&W			
Chicken noodle soup	Soups	1		S&W			
Egg drop soup	Soups	1.017		S&W			
Mushroom soup	Soups	1.017		S&W			
Soup, meat	Soups	1.04		KEN	x		
Soup, mixed	Soups	1.05		KEN	x		
Soup, thick (squash, potato)	Soups	1.09		RC			
Soup, vegetable	Soups	0.99		KEN	x		
Tomato soup	Soups	1.017		S&W			
Beef and noodles (no sauce)	Mixed dishes	0.65		S&W			
Beef and noodles in gravy (mixture)	Mixed dishes	1.04		S&W			
Beef stew, canned	Mixed dishes	1.05		S&W			
Beef, noodles and vegetables (no sauce)	Mixed dishes	0.68		S&W			
Broccoli casserole	Mixed dishes	0.95		S&W			
Cheese tortellini	Mixed dishes	1.03		S&W			
Chicken and dumplings (mixture)	Mixed dishes	1.04		S&W			
Eggplant parmesan	Mixed dishes	0.83		S&W			
Githeri (muthugo + beans) + meat	Mixed dishes	0.95		KEN	x		
Githeri (muthugo + beans) + meat + vegetable + potato/banana	Mixed dishes	0.99		KEN	x		
Githeri (muthugo + beans) + onion, boiled with fat	Mixed dishes	0.98		KEN	x		
Githeri (muthugo + beans) + potato/banana	Mixed dishes	0.88		KEN	x		
Githeri (muthugo + beans) + vegetable	Mixed dishes	1.04		KEN	x		
Githeri (muthugo + beans) + vegetable + meat	Mixed dishes	0.94		KEN	x		
Githeri + meat	Mixed dishes	0.75		KEN	x		
Githeri + meat + vegetable + potato/banana	Mixed dishes	1.05		KEN	x		
Githeri + onion, boiled with fat	Mixed dishes	0.83		KEN	x		
Githeri + peas	Mixed dishes	1.04		KEN	x		
Githeri + potato/banana	Mixed dishes	1.10		KEN	x		
Githeri + roots + vegetable	Mixed dishes	1.13		KEN	x		
Githeri + vegetable	Mixed dishes	1.30		KEN	x		
Githeri + vegetable + meat	Mixed dishes	0.84		KEN	x		
Githeri + vegetable + potato/banana	Mixed dishes	0.95		KEN	x		
Githeri plain (muthugo + beans + water)	Mixed dishes	0.98		KEN	x		
Githeri, beans + vegetable + potatoes	Mixed dishes	0.93		KEN	x		
Githeri, maize + peas	Mixed dishes	0.97		KEN	x		
Githeri, plain (maize + beans + water)	Mixed dishes	0.71		KEN	x		
Gitwero, banana + beans	Mixed dishes	1.20		KEN	x		
Gitwero, banana + beans + vegetable	Mixed dishes	1.20		KEN	x		
Gitwero, banana + potato + beans	Mixed dishes	1.04		KEN	x		
Gitwero, banana + vegetable	Mixed dishes	1.20		KEN	x		
Gitwero, banana, boiled with fat	Mixed dishes	1.19		KEN	x		
Gitwero, banana/potato	Mixed dishes	1.30		KEN	x		
Gitwero, banana/potato + meat	Mixed dishes	1.08		KEN	x		
Gitwero, banana/potato + vegetable	Mixed dishes	1.22		KEN	x		
Gitwero, root (yam, arrowroot, etc.)	Mixed dishes	1.14		KEN	x		
Gitwero, roots + banana	Mixed dishes	1.03		KEN	x		
Gitwero, roots + banana	Mixed dishes	1.03		KEN	x		
Green bean casserole	Mixed dishes	0.95		S&W			
Lasagna	Mixed dishes	1.04		S&W			
Macaroni and cheese, canned	Mixed dishes	1.00		S&W			
Mataha (Maize stew) (Maize stew), maize + peas	Mixed dishes	0.86		KEN	x		
Mataha (maize stew), beans + banana	Mixed dishes	1.22		KEN	x		
Mataha (maize stew), beans + banana + potato	Mixed dishes	1.25		KEN	x		
Mataha (maize stew), beans + banana + potato + vegetable	Mixed dishes	1.15		KEN	x		
Mataha (maize stew), beans + potato/banana + vegetable	Mixed dishes	1.14		KEN	x		
Mataha (maize stew), beans + vegetable	Mixed dishes	1.02		KEN	x		
Mataha (maize stew), beans + vegetable + banana	Mixed dishes	1		KEN	x		
Mataha (maize stew), maize + banana	Mixed dishes	1.09		KEN	x		
Mataha (maize stew), maize + banana/potato + vegetable	Mixed dishes	1.10		KEN	x		
Mataha (maize stew), maize + beans + potato	Mixed dishes	0.75		KEN	x		
Mataha (maize stew), maize + beans + potato + vegetable	Mixed dishes	0.95		KEN	x		
Mataha (maize stew), maize + beans + potato, boiled with fat	Mixed dishes	0.75		KEN	x		
Mataha (maize stew), maize + beans + vegetable + banana	Mixed dishes	0.70		KEN	x		
Mataha (maize stew), maize + vegetable	Mixed dishes	0.90		KEN	x		
Mataha (maize stew), paw paw	Mixed dishes	1.33		KEN	x		
Mexican casserole w/beef, beans, cheese, chips	Mixed dishes	0.6		S&W			
Mini ravioli, canned	Mixed dishes	1.05		S&W			
Moussaka	Mixed dishes	0.85		S&W			
Muthugo (maize without germ and cover) only	Mixed dishes	0.76		KEN	x		
Noodles/pasta with fat	Mixed dishes	0.80		KEN	x		
Rice + beans	Mixed dishes	0.75		KEN	x		
Rice + beans + potato/banana	Mixed dishes	0.85		KEN	x		
Rice + meat	Mixed dishes	0.73		KEN	x		
Rice + meat + vegetable	Mixed dishes	0.83		KEN	x		
Rice + potato/banana	Mixed dishes	0.80		KEN	x		
Rice + roots (yam, arrowroot etc.)	Mixed dishes	0.90		KEN	x		
Rice + vegetable	Mixed dishes	0.65		KEN	x		
Rice + vegetable + potato/banana	Mixed dishes	0.80		KEN	x		
Rice, plain (rice + water)	Mixed dishes	0.70		KEN	x		
Spaghetti and meat balls, canned	Mixed dishes	1.04		S&W			
Stew, banana	Mixed dishes	1.07		KEN	x		
Stew, banana + potato + vegetable	Mixed dishes	1.06		KEN	x		
Stew, beans	Mixed dishes	1.01		KEN	x		
Stew, beans/ peas + meat + vegetables	Mixed dishes	0.94		KEN	x		
Stew, beans/ peas + vegetables	Mixed dishes	1.07		KEN	x		
Stew, meat	Mixed dishes	1.12		KEN	x		
Stew, pea + potato/banana	Mixed dishes	1.10		KEN	x		
Stew, pea + potato/banana + vegetable	Mixed dishes	1.22		KEN	x		
Stew, potato	Mixed dishes	1.10		KEN	x		
Stew, potato + beans + vegetable	Mixed dishes	1.08		KEN	x		
Stew, vegetable	Mixed dishes	0.68		KEN	x		
Stew, vegetable + meat	Mixed dishes	0.86		KEN	x		
Stew, vegetable + potato	Mixed dishes	1.10		KEN	x		
Stew, vegetable + potato + meat	Mixed dishes	1.08		KEN	x		
Stew: eggs + veg	Mixed dishes	0.68		KEN	x		
Tuna noodle casserole	Mixed dishes	0.93		S&W			
Ugali + beans	Mixed dishes	0.80		KEN	x		
Ugali + beans + vegetable	Mixed dishes	0.80		KEN	x		
Ugali + vegetable, crumbed	Mixed dishes	0.75		KEN	x		
Ugali + vegetables, boiled with fat	Mixed dishes	1.20		KEN	x		
Ugali, plain (flour + water), crumbed	Mixed dishes	0.75		KEN	x		
Wieners and sauerkraut (mixture)	Mixed dishes	0.61		S&W			
Zesty Italian ‘‘hamburger helper’’	Mixed dishes	1.04		S&W			
oregano, ground	Herbes and spices	0.29		ADDED	x		
fennel, ground	Herbes and spices	0.35		ADDED	x		
